Pais;Idade;Salario;Comprou
Franca;49.0;45029.0;Sim
Espanha;38.0;54240.0;Nao
Franca;;63753.0;Nao
Franca;45.0;89935.0;Sim
Espanha;31.0;106648.0;Sim
Alemanha;40.0;69100.0;Nao
Alemanha;39.0;57252.0;Nao
Espanha;50.0;68017.0;Sim
Espanha;44.0;73314.0;Sim
Espanha;39.0;55189.0;Sim
Espanha;48.0;86928.0;Nao
Espanha;53.0;63451.0;Sim
Alemanha;45.0;67466.0;Sim
Alemanha;40.0;69988.0;Nao
Espanha;26.0;66323.0;Sim
Franca;29.0;72584.0;Sim
Espanha;36.0;50741.0;Sim
Franca;33.0;51625.0;Sim
Espanha;38.0;43497.0;Sim
Espanha;40.0;66592.0;Nao
Alemanha;45.0;71684.0;Sim
Franca;39.0;66866.0;Nao
Franca;;85117.0;Nao
Alemanha;40.0;59916.0;Nao
Alemanha;20.0;70031.0;Sim
Alemanha;30.0;43624.0;Sim
Alemanha;38.0;54193.0;Sim
Franca;27.0;70433.0;Sim
Franca;45.0;72736.0;Sim
Espanha;55.0;55590.0;Nao
Espanha;52.0;58926.0;Sim
Alemanha;37.0;37231.0;Sim
Alemanha;54.0;;Sim
Alemanha;41.0;73355.0;Nao
Espanha;36.0;68628.0;Sim
Espanha;33.0;67509.0;Nao
Espanha;36.0;60746.0;Sim
Espanha;36.0;60105.0;Nao
Espanha;41.0;50095.0;Nao
Espanha;41.0;70482.0;Sim
Espanha;40.0;66314.0;Sim
Alemanha;44.0;67380.0;Sim
Alemanha;51.0;52109.0;Sim
Alemanha;49.0;27699.0;Nao
Alemanha;25.0;76457.0;Nao
Espanha;18.0;52817.0;Nao
Franca;49.0;47058.0;Nao
Espanha;26.0;70402.0;Sim
Franca;37.0;54119.0;Sim
Alemanha;28.0;75899.0;Nao
Espanha;21.0;69255.0;Sim
Alemanha;;70253.0;Nao
Espanha;47.0;39510.0;Sim
Alemanha;34.0;78179.0;Sim
Franca;18.0;63918.0;Nao
Franca;34.0;54460.0;Sim
Franca;43.0;62150.0;Nao
Espanha;25.0;33356.0;Nao
Franca;41.0;66129.0;Nao
Espanha;39.0;44559.0;Nao
Franca;45.0;39709.0;Nao
Franca;41.0;37164.0;Nao
Espanha;30.0;76690.0;Sim
Espanha;51.0;50561.0;Sim
Franca;38.0;83005.0;Nao
Espanha;39.0;51962.0;Sim
Franca;30.0;34389.0;Sim
Espanha;35.0;43252.0;Sim
Alemanha;31.0;78537.0;Nao
Alemanha;38.0;57661.0;Nao
Alemanha;57.0;51775.0;Sim
Alemanha;26.0;62400.0;Nao
Alemanha;23.0;67526.0;Nao
Franca;54.0;;Nao
Alemanha;;81727.0;Nao
Alemanha;33.0;54603.0;Nao
Alemanha;50.0;;Sim
Alemanha;33.0;53798.0;Nao
Espanha;58.0;63904.0;Sim
Franca;46.0;45543.0;Nao
Alemanha;35.0;45642.0;Nao
Alemanha;61.0;65156.0;Sim
Alemanha;33.0;59270.0;Sim
Franca;47.0;60491.0;Nao
Espanha;42.0;48622.0;Sim
Franca;53.0;56543.0;Nao
Espanha;55.0;46136.0;Sim
Alemanha;40.0;73352.0;Sim
Alemanha;32.0;75528.0;Nao
Franca;44.0;32307.0;Nao
Franca;33.0;46057.0;Nao
Espanha;60.0;37552.0;Sim
Espanha;41.0;50249.0;Nao
Franca;36.0;58748.0;Nao
Espanha;41.0;38255.0;Nao
Franca;26.0;46172.0;Nao
Espanha;30.0;44940.0;Nao
Franca;52.0;;Sim
Franca;33.0;61040.0;Sim
Franca;29.0;49173.0;Nao
Espanha;45.0;;Sim
Espanha;51.0;51799.0;Nao
Espanha;47.0;55925.0;Sim
Franca;49.0;85101.0;Nao
Espanha;32.0;;Nao
Espanha;25.0;40506.0;Sim
Franca;55.0;72445.0;Sim
Alemanha;36.0;72170.0;Sim
Franca;37.0;42776.0;Nao
Espanha;53.0;72281.0;Nao
Franca;45.0;83068.0;Sim
Alemanha;44.0;43161.0;Nao
Franca;61.0;46237.0;Sim
Espanha;33.0;75264.0;Sim
Alemanha;49.0;64072.0;Nao
Espanha;40.0;68272.0;Sim
Alemanha;42.0;65108.0;Sim
Alemanha;55.0;65860.0;Sim
Franca;45.0;40102.0;Sim
Franca;45.0;75709.0;Sim
Espanha;50.0;77543.0;Sim
Franca;36.0;;Nao
Franca;31.0;59347.0;Sim
Alemanha;;37033.0;Nao
Franca;20.0;67713.0;Sim
Alemanha;60.0;68580.0;Sim
Alemanha;28.0;59067.0;Nao
Alemanha;37.0;76865.0;Nao
Espanha;37.0;54988.0;Sim
Espanha;43.0;;Nao
Espanha;48.0;44705.0;Nao
Alemanha;48.0;59646.0;Nao
Espanha;34.0;57384.0;Nao
Espanha;38.0;63379.0;Sim
Franca;42.0;54457.0;Sim
Espanha;37.0;58027.0;Nao
Espanha;56.0;72390.0;Sim
Alemanha;44.0;53448.0;Nao
Alemanha;47.0;35901.0;Sim
Alemanha;46.0;86243.0;Sim
Alemanha;51.0;80721.0;Nao
Alemanha;41.0;40616.0;Sim
Alemanha;27.0;70345.0;Nao
Espanha;43.0;52455.0;Nao
Alemanha;33.0;63952.0;Nao
Alemanha;34.0;64413.0;Nao
Franca;45.0;56483.0;Nao
Espanha;52.0;48243.0;Nao
Espanha;40.0;49641.0;Nao
Espanha;43.0;46257.0;Sim
Alemanha;57.0;47522.0;Sim
Alemanha;42.0;58992.0;Sim
Alemanha;66.0;49263.0;Sim
Franca;;70230.0;Nao
Alemanha;22.0;82308.0;Nao
Franca;47.0;51299.0;Nao
Espanha;43.0;63591.0;Sim
Alemanha;52.0;67495.0;Nao
Franca;46.0;67080.0;Sim
Franca;;61139.0;Nao
Alemanha;27.0;71140.0;Nao
Espanha;37.0;67233.0;Sim
Espanha;31.0;41435.0;Sim
Espanha;34.0;;Sim
Franca;45.0;73309.0;Nao
Franca;56.0;48550.0;Nao
Franca;43.0;60569.0;Nao
Franca;;70249.0;Sim
Espanha;;;Sim
Alemanha;51.0;76094.0;Nao
Franca;33.0;95458.0;Nao
Franca;38.0;48210.0;Sim
Espanha;40.0;39284.0;Sim
Alemanha;32.0;64557.0;Nao
Alemanha;46.0;70823.0;Sim
Espanha;38.0;56537.0;Sim
Espanha;44.0;81798.0;Sim
Alemanha;31.0;39920.0;Nao
Franca;35.0;70393.0;Nao
Alemanha;47.0;50912.0;Nao
Espanha;36.0;;Nao
Franca;57.0;89887.0;Nao
Franca;36.0;;Sim
Espanha;42.0;51756.0;Nao
Espanha;49.0;;Sim
Espanha;25.0;54193.0;Nao
Alemanha;22.0;59318.0;Sim
Alemanha;24.0;60380.0;Sim
Franca;52.0;31204.0;Sim
Espanha;34.0;59792.0;Sim
Franca;;49654.0;Sim
Franca;34.0;52603.0;Sim
Franca;41.0;81654.0;Nao
Franca;55.0;41152.0;Sim
Espanha;60.0;72198.0;Nao
Franca;60.0;55815.0;Nao
Espanha;52.0;55803.0;Nao
Espanha;50.0;71855.0;Nao
Alemanha;45.0;65100.0;Nao
Espanha;47.0;68559.0;Sim
Alemanha;34.0;74522.0;Sim
Espanha;31.0;55030.0;Sim
Espanha;39.0;50816.0;Nao
Espanha;38.0;43722.0;Nao
Alemanha;35.0;47618.0;Sim
Alemanha;46.0;104236.0;Sim
Franca;49.0;78670.0;Nao
